Title,Distributor,ReleaseDate,DomesticSales,InternationalSales,WorldSales,MovieRuntime,License
War for the Planet of the Apes (2017),Twentieth Century Fox,11-Jul-17,146880162,343839601,490719763,2 hr 20 min,PG-13
X-Men: First Class (2011),Twentieth Century Fox,1-Jun-11,146408305,206208385,352616690,2 hr 11 min,PG-13
Paul Blart: Mall Cop (2009),Sony Pictures Entertainment (SPE),16-Jan-09,146336178,37012251,183348429,1 hr 31 min,PG
True Lies (1994),Twentieth Century Fox,15-Jul-94,146282411,232600000,378882411,2 hr 21 min,R
Lilo & Stitch (2002),Walt Disney Studios Motion Pictures,21-Jun-02,145794338,127349813,273144151,1 hr 25 min,PG
The Santa Clause (1994),Walt Disney Studios Motion Pictures,11-Nov-94,145539357,45000000,190539357,1 hr 37 min,PG
The Meg (2018),Warner Bros.,8-Aug-18,145443742,384994536,530438278,1 hr 53 min,PG-13
American Pie 2 (2001),Universal Pictures,10-Aug-01,145103595,142450000,287553595,1 hr 48 min,R
Taken (2008),Twentieth Century Fox,27-Feb-08,145000989,81836771,226837760,1 hr 30 min,PG-13
The Great Gatsby (2013),Warner Bros.,10-May-13,144840419,208801855,353642274,2 hr 23 min,PG-13
"I, Robot (2004)",Twentieth Century Fox,15-Jul-04,144801023,208332875,353133898,1 hr 55 min,PG-13
Lethal Weapon 3 (1992),Warner Bros.,15-May-92,144731527,177000000,321731527,1 hr 58 min,R
The Fast and the Furious (2001),Universal Pictures,22-Jun-01,144533925,62771584,207305509,1 hr 46 min,PG-13
Mamma Mia! (2008),Universal Pictures,27-Jun-08,144169664,467088155,611257819,1 hr 48 min,PG-13
Doctor Dolittle (1998),Twentieth Century Fox,NA,144156605,150300000,294456605,1 hr 25 min,NA
Pokémon Detective Pikachu (2019),Warner Bros.,3-May-19,144105346,289409488,433514834,1 hr 44 min,PG
Rio (2011),Twentieth Century Fox,4-Apr-11,143619809,340246709,483866518,1 hr 36 min,PG
Kung Fu Panda 3 (2016),Twentieth Century Fox,28-Jan-16,143528619,377642206,521170825,1 hr 35 min,PG
Juno (2007),Fox Searchlight Pictures,5-Dec-07,143495265,88877416,232372681,1 hr 36 min,PG-13
Marley & Me (2008),Twentieth Century Fox,NA,143153751,112589342,255743093,1 hr 51 min,NA
The Smurfs (2011),Sony Pictures Entertainment (SPE),27-Jul-11,142614158,421135165,563749323,1 hr 43 min,PG
Once Upon a Time... In Hollywood (2019),Sony Pictures Entertainment (SPE),25-Jul-19,142502728,232063026,374565754,2 hr 41 min,R
xXx (2002),Revolution Studios,9-Aug-02,142109382,135339000,277448382,2 hr 4 min,PG-13
The Chronicles of Narnia: Prince Caspian (2008),Walt Disney Studios Motion Pictures,15-May-08,141621490,278044078,419665568,2 hr 30 min,PG
Pocahontas (1995),Walt Disney Studios Motion Pictures,NA,141579773,204500000,346079773,1 hr 21 min,NA
A Few Good Men (1992),Columbia Pictures,11-Dec-92,141340178,101900000,243240178,2 hr 18 min,R
Slumdog Millionaire (2008),Fox Searchlight Pictures,12-Nov-08,141319928,237090614,378410542,2 hr,R
Rush Hour (1998),New Line Cinema,18-Sep-98,141186864,103534200,244721064,1 hr 38 min,PG-13
The Blair Witch Project (1999),Artisan Entertainment,16-Jul-99,140539099,108100000,248639099,1 hr 21 min,R
Deep Impact (1998),Paramount Pictures,NA,140464664,209000000,349464664,2 hr,NA
Shazam! (2019),Warner Bros.,3-Apr-19,140371656,225600000,365971656,2 hr 12 min,PG-13
Ocean's Eight (2018),Warner Bros.,7-Jun-18,140218711,157500000,297718711,1 hr 50 min,PG-13
Rush Hour 3 (2007),New Line Cinema,8-Aug-07,140125968,117971154,258097122,1 hr 31 min,PG-13
Stuart Little (1999),Sony Pictures Entertainment (SPE),17-Dec-99,140035367,160100000,300135367,1 hr 24 min,PG
Taken 2 (2012),Twentieth Century Fox,27-Sep-12,139854287,236298168,376152455,1 hr 32 min,PG-13
Sister Act (1992),Walt Disney Studios Motion Pictures,NA,139605150,92000000,231605150,1 hr 40 min,NA
The Matrix Revolutions (2003),Warner Bros.,5-Nov-03,139313948,288030377,427344325,2 hr 9 min,R
The Santa Clause 2 (2002),Walt Disney Studios Motion Pictures,1-Nov-02,139236327,33618738,172855065,1 hr 44 min,NA
The King's Speech (2010),The Weinstein Company,26-Nov-10,138797449,288576868,427374317,1 hr 58 min,R
Cheaper by the Dozen (2003),Twentieth Century Fox,25-Dec-03,138614544,51924086,190538630,1 hr 38 min,PG
Bad Boys II (2003),Sony Pictures Entertainment (SPE),18-Jul-03,138608444,134731112,273339556,2 hr 27 min,R
Platoon (1986),Orion Pictures,19-Dec-86,138530565,15067,138545632,2 hr,NA
21 Jump Street (2012),Sony Pictures Entertainment (SPE),15-Mar-12,138447667,63137661,201585328,1 hr 49 min,R
Good Will Hunting (1997),Miramax,NA,138433435,87500000,225933435,2 hr 6 min,NA
Split (2016),Universal Pictures,18-Jan-17,138291365,140163052,278454417,1 hr 57 min,PG-13
A Christmas Carol (2009),Walt Disney Studios Motion Pictures,9-Sep-09,137855863,187430783,325286646,1 hr 36 min,PG
Dinosaur (2000),Walt Disney Studios Motion Pictures,19-May-00,137748063,212074702,349822765,1 hr 22 min,PG
Ready Player One (2018),Warner Bros.,28-Mar-18,137690172,445203499,582893671,2 hr 20 min,PG-13
The Conjuring (2013),Warner Bros.,18-Jul-13,137400141,182890848,320290989,1 hr 52 min,R
Click (2006),Revolution Studios,22-Jun-06,137355633,103329693,240685326,1 hr 47 min,PG-13
The Green Mile (1999),Warner Bros.,10-Dec-99,136801374,150000000,286801374,3 hr 9 min,R
Ransom (1996),Walt Disney Studios Motion Pictures,NA,136492681,173000000,309492681,2 hr 1 min,NA
Godzilla (1998),Sony Pictures Entertainment (SPE),20-May-98,136314294,242700000,379014294,2 hr 19 min,PG-13
Argo (2012),Warner Bros.,11-Oct-12,136025503,96300000,232325503,2 hr,R
Anger Management (2003),Revolution Studios,11-Apr-03,135645823,60100000,195745823,1 hr 46 min,PG-13
Chicken Little (2005),Walt Disney Studios Motion Pictures,4-Nov-05,135386665,179046172,314432837,1 hr 21 min,G
Teenage Mutant Ninja Turtles (1990),New Line Cinema,30-Mar-90,135265915,66700000,201965915,1 hr 33 min,NA
Patch Adams (1998),Universal Pictures,25-Dec-98,135026902,67266000,202292902,1 hr 55 min,PG-13
The Godfather (1972),Paramount Pictures,15-Mar-72,134966411,111154575,246120986,2 hr 55 min,NA
Ride Along (2014),Universal Pictures,17-Jan-14,134938200,19530702,154468902,1 hr 39 min,PG-13
The Incredible Hulk (2008),Universal Pictures,11-Jun-08,134806913,129964083,264770996,1 hr 52 min,PG-13
Live Free or Die Hard (2007),Twentieth Century Fox,26-Jun-07,134529403,253626608,388156011,2 hr 8 min,PG-13
Wanted (2008),Universal Pictures,26-Jun-08,134508551,207954512,342463063,1 hr 50 min,R
Identity Thief (2013),Universal Pictures,7-Feb-13,134506920,39458090,173965010,1 hr 51 min,R
Superman (1978),Warner Bros.,15-Dec-78,134451603,166000000,300451603,2 hr 23 min,PG
The Rock (1996),Walt Disney Studios Motion Pictures,7-Jun-96,134069511,200993110,335062621,2 hr 16 min,R
Mission: Impossible III (2006),Paramount Pictures,3-May-06,134029801,264449696,398479497,2 hr 6 min,PG-13
Grown Ups 2 (2013),Sony Pictures Entertainment (SPE),11-Jul-13,133668525,113315753,246984278,1 hr 41 min,PG-13
Troy (2004),Warner Bros.,12-May-04,133378256,364031596,497409852,2 hr 43 min,R
Angels & Demons (2009),Sony Pictures Entertainment (SPE),13-May-09,133375846,352554970,485930816,2 hr 18 min,PG-13
Alvin and the Chipmunks: Chipwrecked (2011),Twentieth Century Fox,14-Dec-11,133110742,209584693,342695435,1 hr 27 min,G
Bringing Down the House (2003),Walt Disney Studios Motion Pictures,7-Mar-03,132716677,32013002,164729679,1 hr 45 min,PG-13
The Wolverine (2013),Twentieth Century Fox,24-Jul-13,132556852,282271394,414828246,2 hr 6 min,PG-13
Wonder (2017),Lionsgate,NA,132422809,173786480,306209289,1 hr 53 min,NA
The Departed (2006),Warner Bros.,5-Oct-06,132384315,159081058,291465373,2 hr 31 min,R
Hulk (2003),Universal Pictures,19-Jun-03,132177234,113107931,245285165,2 hr 18 min,PG-13
Silver Linings Playbook (2012),The Weinstein Company,16-Nov-12,132092958,104319495,236412453,2 hr 2 min,R
Minority Report (2002),Twentieth Century Fox,20-Jun-02,132072926,226300000,358372926,2 hr 25 min,PG-13
Fantastic 4: Rise of the Silver Surfer (2007),Twentieth Century Fox,13-Jun-07,131921738,169991393,301913131,1 hr 32 min,PG
The Last Airbender (2010),Paramount Pictures,1-Jul-10,131772187,187941694,319713881,1 hr 43 min,PG
Rio 2 (2014),Twentieth Century Fox,20-Mar-14,131538435,367242682,498781117,1 hr 41 min,G
Lara Croft: Tomb Raider (2001),Paramount Pictures,15-Jun-01,131168070,143535270,274703340,1 hr 40 min,PG-13
The Silence of the Lambs (1991),Orion Pictures,14-Feb-91,130742922,142000000,272742922,1 hr 58 min,NA
The Flintstones (1994),Universal Pictures,27-May-94,130531208,211100000,341631208,1 hr 31 min,PG
Lethal Weapon 4 (1998),Warner Bros.,10-Jul-98,130444603,155000000,285444603,2 hr 7 min,R
Get Smart (2008),Warner Bros.,19-Jun-08,130319208,100366245,230685453,1 hr 50 min,PG-13
The Divergent Series: Insurgent (2015),Lionsgate,18-Mar-15,130179072,166823455,297002527,1 hr 59 min,PG-13
The Peanuts Movie (2015),Twentieth Century Fox,29-Oct-15,130178411,116054702,246233113,1 hr 28 min,G
Transformers: The Last Knight (2017),Paramount Pictures,21-Jun-17,130168683,475256474,605425157,2 hr 34 min,PG-13
American Gangster (2007),Universal Pictures,2-Nov-07,130164645,139590785,269755430,2 hr 37 min,R
American Beauty (1999),DreamWorks Distribution,15-Sep-99,130096601,226200000,356296601,2 hr 2 min,R
The Ring (2002),DreamWorks Distribution,18-Oct-02,129128133,120220800,249348933,1 hr 55 min,PG-13
The Nutty Professor (1996),Universal Pictures,28-Jun-96,128814019,145147000,273961019,1 hr 35 min,PG-13
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),Twentieth Century Fox,23-Feb-06,128505958,134046935,262552893,1 hr 24 min,R
Ghostbusters (2016),Sony Pictures Entertainment (SPE),11-Jul-16,128350574,100796935,229147509,1 hr 57 min,PG-13
Kingsman: The Secret Service (2014),Twentieth Century Fox,30-Jan-15,128261724,286089822,414351546,2 hr 9 min,R
Robots (2005),Twentieth Century Fox,10-Mar-05,128200012,134311478,262511490,1 hr 31 min,PG
"Crouching Tiger, Hidden Dragon (2000)",Sony Pictures Classics,8-Dec-00,128078872,85446864,213525736,2 hr,PG-13
Shutter Island (2010),Paramount Pictures,18-Feb-10,128012934,166792763,294805697,2 hr 18 min,R
Into the Woods (2014),Walt Disney Studios Motion Pictures,24-Dec-14,128002372,84900000,212902372,2 hr 5 min,PG
Rocky IV (1985),United Artists,NA,127873716,172600000,300473716,1 hr 31 min,NA
Enchanted (2007),Walt Disney Studios Motion Pictures,21-Nov-07,127807262,212680574,340487836,1 hr 47 min,PG
The Curious Case of Benjamin Button (2008),Paramount Pictures,25-Dec-08,127509326,208293460,335802786,2 hr 46 min,PG-13
Central Intelligence (2016),Warner Bros.,15-Jun-16,127440871,89531672,216972543,1 hr 47 min,PG-13
Anchorman 2: The Legend Continues (2013),Paramount Pictures,18-Dec-13,127352707,46297224,173649931,1 hr 59 min,PG-13
Sweet Home Alabama (2002),Walt Disney Studios Motion Pictures,27-Sep-02,127223418,53399006,180622424,1 hr 48 min,PG-13
Bumblebee (2018),Paramount Pictures,19-Dec-18,127195589,340794056,467989645,1 hr 54 min,PG-13
Dumb and Dumber (1994),New Line Cinema,16-Dec-94,127175374,120100000,247275374,1 hr 47 min,NA
2 Fast 2 Furious (2003),Universal Pictures,5-Jun-03,127154901,109195760,236350661,1 hr 47 min,PG-13
My Best Friend's Wedding (1997),Sony Pictures Entertainment (SPE),20-Jun-97,127120029,172168576,299288605,1 hr 45 min,PG-13
Super 8 (2011),Paramount Pictures,9-Jun-11,127004179,133091807,260095986,1 hr 52 min,PG-13
The World Is Not Enough (1999),Metro-Goldwyn-Mayer (MGM),19-Nov-99,126943684,234888716,361832400,2 hr 8 min,PG-13
Sleepless in Seattle (1993),TriStar Pictures,25-Jun-93,126808165,101119000,227927165,1 hr 45 min,PG
Lucy (2014),Universal Pictures,25-Jul-14,126663600,332200000,458863600,1 hr 29 min,R
The Legend of Tarzan (2016),Warner Bros.,29-Jun-16,126643061,230057296,356700357,1 hr 50 min,PG-13
Bee Movie (2007),DreamWorks,1-Nov-07,126631277,166883059,293514336,1 hr 31 min,PG
Prometheus (2012),Twentieth Century Fox,30-May-12,126477084,276877385,403354469,2 hr 4 min,R
Safe House (2012),Universal Pictures,8-Feb-12,126373434,81702771,208076205,1 hr 55 min,R
Mr. Deeds (2002),Sony Pictures Entertainment (SPE),28-Jun-02,126293452,44976083,171269535,1 hr 36 min,PG-13
The Truman Show (1998),Paramount Pictures,NA,125618201,138500000,264118201,1 hr 43 min,NA
