Title,Distributor,ReleaseDate,DomesticSales,InternationalSales,WorldSales,MovieRuntime,License
Austin Powers: The Spy Who Shagged Me (1999),New Line Cinema,11-Jun-99,206040086,105976842,312016928,1 hr 35 min,PG-13
Terminator 2: Judgment Day (1991),TriStar Pictures,3-Jul-91,205881154,312106698,520881154,2 hr 17 min,R
The Amazing Spider-Man 2 (2014),Sony Pictures Entertainment (SPE),NA,202853933,506128390,708982323,2 hr 22 min,NA
World War Z (2013),Paramount Pictures,19-Jun-13,202807711,337648165,540455876,1 hr 56 min,PG-13
The Mummy Returns (2001),Universal Pictures,4-May-01,202019785,241261119,443280904,2 hr 10 min,PG-13
Armageddon (1998),Walt Disney Studios Motion Pictures,1-Jul-98,201578182,352131606,553709788,2 hr 31 min,PG-13
Cinderella (2015),Walt Disney Studios Motion Pictures,11-Mar-15,201151353,341206978,542358331,1 hr 45 min,PG
Ralph Breaks the Internet (2018),Walt Disney Studios Motion Pictures,21-Nov-18,201091711,328232251,529323962,1 hr 52 min,PG
Tangled (2010),Walt Disney Studios Motion Pictures,24-Nov-10,200821936,391640880,592462816,1 hr 40 min,PG
Godzilla (2014),Warner Bros.,14-May-14,200676069,324300000,524976069,2 hr 3 min,PG-13
Superman Returns (2006),Warner Bros.,28-Jun-06,200081192,191000000,391081192,2 hr 34 min,PG-13
Spectre (2015),Sony Pictures Entertainment (SPE),26-Oct-15,200074609,680606910,880681519,2 hr 28 min,PG-13
Pearl Harbor (2001),Walt Disney Studios Motion Pictures,25-May-01,198542554,250678391,449220945,3 hr 3 min,PG-13
Monsters vs. Aliens (2009),DreamWorks,19-Mar-09,198351526,183158344,381509870,1 hr 34 min,PG
Happy Feet (2006),Warner Bros.,17-Nov-06,198000317,186335791,384336108,1 hr 48 min,PG
Indiana Jones and the Last Crusade (1989),Paramount Pictures,24-May-89,197171806,277000000,474171806,2 hr 7 min,PG-13
Ice Age: Dawn of the Dinosaurs (2009),Twentieth Century Fox,29-Jun-09,196573705,690113112,886686817,1 hr 34 min,PG
Ice Age: The Meltdown (2006),Twentieth Century Fox,29-Mar-06,195330621,471763885,667094506,1 hr 31 min,PG
Mission: Impossible - Rogue Nation (2015),Paramount Pictures,24-Jul-15,195042377,487674259,682716636,2 hr 11 min,PG-13
Twilight (2008),Summit Entertainment,20-Nov-08,193962473,214467942,408430415,2 hr 2 min,PG-13
Men in Black II (2002),Sony Pictures Entertainment (SPE),3-Jul-02,193735288,251400000,445135288,1 hr 28 min,PG-13
Madagascar (2005),DreamWorks Distribution,NA,193595521,348468325,542063846,1 hr 26 min,NA
22 Jump Street (2014),Sony Pictures Entertainment (SPE),5-Jun-14,191719337,139614539,331333876,1 hr 52 min,R
Cars 2 (2011),Walt Disney Studios Motion Pictures,22-Jun-11,191452396,368400000,559852396,1 hr 46 min,G
Teenage Mutant Ninja Turtles (2014),Paramount Pictures,7-Aug-14,191204754,293800000,485004754,1 hr 41 min,PG-13
